,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.18,1.594,0.23,0.835,0.78,0.829,-0.231,1.192,1.221,-0.019,6.054,1.096,-0.028
ADBE,0.109,0.816,0.248,0.543,0.253,0.295,-0.432,1.123,0.739,-0.734,6.658,0.927,-0.031
AMD,0.226,2.235,0.417,0.697,0.437,0.728,-0.518,1.164,1.041,0.138,6.462,1.144,-0.051
AMZN,0.034,0.213,0.242,0.26,0.062,0.013,-0.55,1.058,0.364,-0.2,5.153,0.985,-0.03
DIS,-0.013,-0.073,0.183,0.019,-0.036,0.04,-0.358,1.006,0.029,1.375,25.56,1.0,-0.023
GOOGL,0.134,1.061,0.211,0.701,0.425,0.799,-0.315,1.165,1.007,-0.114,6.7,0.986,-0.026
HD,0.045,0.291,0.177,0.34,0.2,0.694,-0.227,1.078,0.461,-0.746,8.878,1.046,-0.022
JNJ,-0.076,-0.366,0.133,-0.529,-0.173,0.902,-0.44,0.88,-0.661,-2.254,23.833,0.935,-0.017
JPM,-0.023,-0.123,0.182,-0.034,-0.054,0.008,-0.417,0.992,-0.048,0.319,15.749,0.997,-0.023
MA,0.041,0.258,0.213,0.294,0.083,0.016,-0.49,1.063,0.403,-0.384,5.152,0.96,-0.027
META,0.194,1.78,0.266,0.801,0.728,0.703,-0.267,1.232,1.21,0.426,39.435,1.07,-0.033
MSFT,0.134,1.058,0.219,0.683,0.439,0.805,-0.305,1.146,0.968,-0.255,4.378,0.978,-0.027
NFLX,0.109,0.809,0.335,0.475,0.276,0.175,-0.393,1.11,0.706,0.329,7.358,1.095,-0.042
NVDA,0.213,2.042,0.391,0.69,0.375,0.686,-0.569,1.154,1.009,0.066,9.763,1.052,-0.048
PG,0.038,0.239,0.13,0.351,0.184,0.49,-0.206,1.076,0.493,-0.18,4.668,0.934,-0.016
PYPL,-0.009,-0.048,0.254,0.094,-0.016,0.226,-0.536,1.023,0.129,-0.312,11.156,0.874,-0.032
TSLA,0.062,0.417,0.494,0.374,0.093,0.509,-0.668,1.092,0.521,-0.562,9.701,1.045,-0.061
UNH,-0.007,-0.041,0.194,0.06,-0.022,0.202,-0.319,1.013,0.084,-0.1,7.822,0.894,-0.024
V,-0.009,-0.05,0.173,0.035,-0.023,0.002,-0.385,1.007,0.047,-0.651,5.41,0.893,-0.022
VZ,-0.119,-0.518,0.112,-1.074,-0.222,0.969,-0.536,0.739,-1.315,-1.457,11.942,0.754,-0.015
average,0.063,0.58,0.24,0.281,0.189,0.455,-0.408,1.066,0.42,-0.266,11.092,0.983,-0.03
