,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.182,1.591,0.323,0.678,0.489,0.791,-0.371,1.128,1.003,0.17,4.742,1.123,-0.04
ADBE,0.051,0.33,0.372,0.32,0.11,0.067,-0.465,1.06,0.456,0.109,7.381,0.979,-0.046
AMD,0.027,0.163,0.556,0.327,0.039,0.126,-0.689,1.058,0.469,-0.061,2.673,1.021,-0.069
AMZN,-0.052,-0.263,0.357,0.029,-0.076,0.448,-0.684,1.005,0.041,0.199,3.852,0.944,-0.045
DIS,0.037,0.229,0.32,0.273,0.079,0.027,-0.469,1.053,0.398,0.181,8.914,0.955,-0.04
GOOGL,0.207,1.925,0.314,0.756,0.662,0.901,-0.313,1.144,1.116,0.141,3.464,1.02,-0.039
HD,0.034,0.212,0.283,0.259,0.1,0.586,-0.342,1.051,0.384,1.179,21.785,0.917,-0.035
JNJ,-0.145,-0.59,0.205,-0.658,-0.221,0.887,-0.656,0.883,-0.862,-0.71,9.231,0.923,-0.026
JPM,-0.109,-0.482,0.311,-0.216,-0.162,0.496,-0.671,0.96,-0.304,0.373,12.54,0.983,-0.039
MA,0.002,0.014,0.316,0.164,0.003,0.006,-0.692,1.031,0.24,0.566,7.426,0.901,-0.04
META,0.52,9.881,0.44,1.165,1.611,0.827,-0.323,1.255,1.95,1.936,23.15,1.1,-0.053
MSFT,0.067,0.445,0.306,0.364,0.157,0.582,-0.425,1.067,0.515,-0.016,6.636,0.955,-0.038
NFLX,-0.05,-0.255,0.478,0.125,-0.068,0.627,-0.742,1.024,0.19,1.792,33.463,0.984,-0.06
NVDA,0.014,0.08,0.521,0.286,0.02,0.001,-0.673,1.051,0.414,0.144,4.548,1.056,-0.065
PG,0.063,0.415,0.212,0.393,0.187,0.543,-0.336,1.077,0.593,0.722,10.841,0.993,-0.026
PYPL,-0.015,-0.082,0.43,0.178,-0.03,0.228,-0.487,1.033,0.262,0.802,11.515,1.002,-0.054
TSLA,-0.173,-0.661,0.646,0.033,-0.207,0.033,-0.833,1.006,0.046,-0.281,3.501,1.05,-0.081
UNH,-0.087,-0.405,0.291,-0.168,-0.185,0.047,-0.472,0.968,-0.239,0.516,14.084,0.94,-0.037
V,-0.126,-0.537,0.281,-0.34,-0.195,0.37,-0.649,0.939,-0.461,-0.209,8.73,0.871,-0.036
VZ,-0.081,-0.383,0.205,-0.312,-0.118,0.742,-0.687,0.945,-0.434,0.049,4.865,1.011,-0.026
average,0.018,0.581,0.358,0.183,0.11,0.417,-0.549,1.037,0.289,0.38,10.167,0.986,-0.045
