,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.164,1.397,0.231,0.773,0.681,0.822,-0.241,1.184,1.128,-0.017,6.824,1.049,-0.028
ADBE,0.044,0.283,0.275,0.296,0.091,0.004,-0.487,1.07,0.402,-0.563,15.496,0.882,-0.034
AMD,0.199,1.843,0.423,0.64,0.389,0.694,-0.512,1.158,0.958,0.278,8.044,1.158,-0.052
AMZN,-0.017,-0.093,0.253,0.059,-0.031,0.367,-0.546,1.013,0.083,-0.041,6.036,0.957,-0.032
DIS,-0.009,-0.053,0.182,0.037,-0.025,0.1,-0.375,1.011,0.056,1.307,25.482,0.994,-0.023
GOOGL,0.069,0.467,0.218,0.414,0.153,0.527,-0.451,1.095,0.58,-0.264,6.453,0.943,-0.027
HD,-0.055,-0.277,0.208,-0.164,-0.145,0.588,-0.378,0.959,-0.202,-4.038,63.309,0.982,-0.026
JNJ,-0.075,-0.361,0.138,-0.496,-0.186,0.751,-0.403,0.881,-0.631,-1.775,24.656,0.898,-0.018
JPM,0.045,0.291,0.184,0.333,0.188,0.695,-0.241,1.081,0.484,0.492,14.852,1.06,-0.023
MA,0.006,0.033,0.213,0.134,0.012,0.14,-0.471,1.029,0.179,-0.737,7.376,0.955,-0.027
META,0.221,2.15,0.264,0.888,0.934,0.606,-0.236,1.266,1.355,0.483,40.657,1.105,-0.032
MSFT,0.117,0.888,0.242,0.579,0.323,0.71,-0.362,1.132,0.801,-0.729,15.905,0.966,-0.03
NFLX,0.056,0.37,0.334,0.331,0.117,0.02,-0.479,1.077,0.482,0.186,7.749,1.069,-0.042
NVDA,0.155,1.291,0.401,0.56,0.232,0.535,-0.668,1.124,0.817,0.095,9.032,1.07,-0.05
PG,0.03,0.185,0.134,0.288,0.144,0.362,-0.209,1.064,0.39,-0.756,7.118,0.944,-0.017
PYPL,-0.012,-0.064,0.26,0.086,-0.025,0.461,-0.468,1.022,0.118,-0.282,10.872,0.868,-0.033
TSLA,0.006,0.036,0.484,0.259,0.009,0.368,-0.656,1.066,0.359,-0.547,10.731,1.009,-0.06
UNH,-0.061,-0.305,0.187,-0.243,-0.157,0.416,-0.39,0.947,-0.336,-0.008,8.905,0.832,-0.024
V,0.037,0.234,0.186,0.29,0.134,0.259,-0.278,1.066,0.401,-0.114,9.979,0.959,-0.023
VZ,-0.071,-0.346,0.117,-0.572,-0.167,0.862,-0.427,0.857,-0.733,-1.136,11.961,0.801,-0.015
average,0.042,0.398,0.247,0.225,0.134,0.464,-0.414,1.055,0.335,-0.408,15.572,0.975,-0.031
