Date,AAPL,AMD,MSFT,AMZN,GOOGL,JPM,META,TSLA,V,JNJ,PG,NVDA,MA,HD,UNH,VZ,NFLX,DIS,PYPL,ADBE,AVG,Cumulative_Sum,SPY,Returns
10/2/2022,$0.02,$0.05,$0.03,$0.01,$0.02,$0.00,$0.02,$0.03,$0.02,$0.01,$0.02,$0.03,$0.02,$0.03,$0.02,$0.01,$0.02,-$0.03,$0.03,$0.05,$0.02,$1.02,449.32,0.992157596
11/2/2022,$0.02,$0.11,$0.02,$0.04,$0.03,$0.01,-$0.04,$0.05,$0.00,$0.01,-$0.01,$0.08,$0.01,$0.01,$0.02,-$0.01,$0.04,$0.02,-$0.03,$0.04,$0.02,$1.04,440.46,0.983613156
14/2/2022,-$0.00,-$0.01,$0.00,-$0.01,-$0.01,$0.01,-$0.01,-$0.02,-$0.00,$0.01,$0.00,-$0.01,-$0.01,-$0.00,$0.01,$0.00,-$0.01,-$0.01,-$0.01,$0.00,$0.00,$1.04,439.02,0.982215286
15/2/2022,-$0.02,-$0.06,-$0.02,-$0.01,-$0.01,-$0.01,$0.02,-$0.05,-$0.01,-$0.01,$0.00,-$0.09,-$0.02,-$0.00,-$0.01,-$0.00,-$0.03,-$0.03,$0.01,$0.01,-$0.02,$1.02,446.1,0.9890634
16/2/2022,$0.00,$0.03,$0.00,-$0.01,-$0.01,-$0.00,$0.02,-$0.00,-$0.00,$0.00,-$0.01,-$0.00,-$0.00,$0.01,-$0.00,-$0.00,$0.02,-$0.01,$0.04,-$0.00,$0.00,$1.03,446.6,0.989544692
17/2/2022,$0.02,$0.05,$0.03,$0.02,$0.04,$0.02,$0.04,$0.05,$0.02,$0.01,-$0.01,$0.08,$0.02,$0.01,$0.02,-$0.00,$0.03,$0.02,$0.05,-$0.04,$0.02,$1.05,437.06,0.980308455
18/2/2022,$0.01,-$0.01,-$0.01,$0.01,$0.02,-$0.00,-$0.01,$0.02,$0.01,$0.02,-$0.00,$0.04,$0.01,$0.00,$0.01,-$0.00,-$0.01,$0.01,-$0.01,-$0.03,$0.00,$1.05,434.23,0.977546671
22/2/2022,$0.02,-$0.02,-$0.00,$0.02,$0.00,$0.00,$0.02,$0.04,$0.01,-$0.01,$0.01,$0.01,$0.00,$0.09,$0.01,-$0.00,$0.04,$0.02,$0.00,-$0.01,$0.01,$1.06,429.57,0.972976719
23/2/2022,$0.03,$0.05,-$0.03,$0.04,$0.02,$0.02,$0.02,-$0.07,$0.02,$0.00,$0.01,$0.04,$0.02,-$0.02,$0.01,$0.01,$0.03,$0.02,$0.02,-$0.02,$0.01,$1.08,421.95,0.965443134
24/2/2022,$0.02,-$0.06,$0.05,-$0.04,$0.04,$0.03,-$0.05,$0.05,-$0.01,-$0.02,-$0.03,-$0.06,-$0.02,$0.02,$0.01,$0.02,-$0.06,-$0.02,-$0.04,$0.08,-$0.01,$1.07,428.3,0.971726402
25/2/2022,-$0.01,-$0.04,-$0.01,-$0.02,-$0.01,$0.02,-$0.01,$0.01,-$0.01,$0.05,$0.04,-$0.02,$0.00,$0.01,-$0.04,-$0.03,-$0.00,-$0.00,-$0.05,-$0.00,-$0.01,$1.06,437.75,0.980980288
28/2/2022,-$0.00,-$0.02,-$0.01,$0.00,-$0.00,$0.04,-$0.00,-$0.07,$0.01,$0.01,$0.02,-$0.01,$0.02,-$0.00,-$0.00,$0.01,-$0.01,$0.01,-$0.01,-$0.00,$0.00,$1.06,436.63,0.979889473
1/3/2022,$0.01,$0.08,$0.01,$0.02,$0.01,-$0.04,$0.04,$0.01,$0.03,$0.00,$0.02,$0.04,$0.05,$0.01,-$0.00,$0.00,$0.02,$0.02,$0.05,$0.00,$0.02,$1.08,429.98,0.973379918
2/3/2022,-$0.02,-$0.04,-$0.02,-$0.01,-$0.00,$0.02,-$0.02,-$0.02,$0.00,-$0.01,$0.00,-$0.03,-$0.00,-$0.02,-$0.02,-$0.01,$0.02,-$0.01,-$0.00,-$0.01,-$0.01,$1.07,437.89,0.981116529
3/3/2022,$0.00,$0.05,$0.01,$0.03,$0.01,-$0.01,$0.03,$0.05,$0.01,-$0.01,$0.00,$0.02,-$0.01,$0.01,-$0.00,-$0.01,$0.03,$0.01,$0.05,$0.03,$0.01,$1.09,435.71,0.978992262
4/3/2022,$0.02,$0.03,$0.02,$0.02,$0.02,-$0.03,$0.01,$0.00,$0.03,-$0.01,-$0.01,$0.03,-$0.03,$0.00,-$0.02,-$0.01,$0.02,$0.03,$0.01,$0.02,$0.01,$1.09,432.17,0.975529916
7/3/2022,$0.02,$0.05,$0.04,$0.06,$0.04,-$0.04,$0.07,$0.04,-$0.05,-$0.02,$0.01,$0.07,-$0.06,$0.00,$0.02,$0.01,$0.03,$0.05,$0.07,$0.03,$0.02,$1.12,419.43,0.962934797
8/3/2022,-$0.01,$0.02,-$0.01,-$0.01,$0.01,-$0.01,-$0.01,-$0.02,$0.01,$0.02,-$0.04,$0.01,$0.00,$0.02,$0.03,$0.03,-$0.02,-$0.01,-$0.01,$0.01,$0.00,$1.12,416.25,0.959757317
