,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.419,0.792,0.302,1.31,1.13,0.32,-0.371,1.245,2.134,0.439,1.318,1.466,-0.036
ADBE,-0.013,-0.021,0.407,0.168,-0.025,0.2,-0.515,1.03,0.262,1.078,6.745,1.107,-0.051
AMD,0.454,0.866,0.554,0.953,0.907,0.088,-0.5,1.172,1.417,0.029,1.432,1.11,-0.068
AMZN,0.154,0.269,0.429,0.546,0.342,0.015,-0.45,1.097,0.827,0.504,3.057,1.073,-0.053
DIS,0.338,0.624,0.333,1.038,1.157,0.588,-0.292,1.193,1.639,0.815,4.714,1.081,-0.041
GOOGL,0.388,0.726,0.352,1.106,1.119,0.301,-0.346,1.202,1.673,0.205,1.26,0.934,-0.043
HD,0.192,0.339,0.275,0.774,0.911,0.317,-0.21,1.143,1.211,0.507,3.684,1.079,-0.034
JNJ,0.011,0.018,0.173,0.15,0.051,0.0,-0.216,1.026,0.215,-0.104,3.561,1.164,-0.022
JPM,-0.174,-0.274,0.263,-0.595,-0.378,0.801,-0.462,0.904,-0.777,-0.569,1.567,0.861,-0.034
MA,-0.163,-0.257,0.259,-0.559,-0.432,0.745,-0.378,0.908,-0.781,0.057,1.698,1.034,-0.033
META,-0.291,-0.436,0.534,-0.381,-0.396,0.491,-0.735,0.93,-0.563,1.068,15.92,0.928,-0.068
MSFT,0.356,0.661,0.317,1.119,0.927,0.101,-0.384,1.204,1.689,-0.003,1.277,1.31,-0.038
NFLX,0.044,0.075,0.581,0.345,0.069,0.46,-0.638,1.07,0.576,3.72,45.228,0.945,-0.072
NVDA,-0.116,-0.185,0.581,0.084,-0.148,0.381,-0.778,1.014,0.115,-0.554,3.166,1.131,-0.073
PG,-0.057,-0.093,0.193,-0.208,-0.195,0.44,-0.291,0.965,-0.305,0.601,3.726,0.973,-0.024
PYPL,0.838,1.757,0.469,1.531,2.525,0.851,-0.332,1.299,2.376,0.208,2.453,1.018,-0.056
TSLA,-0.531,-0.717,0.615,-0.922,-0.681,0.901,-0.78,0.857,-1.249,0.028,0.624,0.876,-0.08
UNH,0.133,0.232,0.236,0.647,0.776,0.548,-0.172,1.117,1.013,0.604,2.713,1.215,-0.029
V,0.013,0.022,0.243,0.175,0.046,0.231,-0.287,1.03,0.252,0.023,1.692,0.989,-0.03
VZ,0.022,0.037,0.23,0.21,0.108,0.004,-0.204,1.038,0.295,-0.381,3.968,1.148,-0.029
average,0.101,0.222,0.367,0.374,0.391,0.389,-0.417,1.072,0.601,0.414,5.49,1.072,-0.046
