,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.001,0.005,0.345,0.175,0.002,0.223,-0.623,1.031,0.267,0.694,4.652,1.162,-0.043
ADBE,0.117,0.504,0.406,0.471,0.196,0.26,-0.596,1.088,0.779,1.316,7.091,1.251,-0.05
AMD,-0.261,-0.673,0.543,-0.285,-0.308,0.717,-0.847,0.952,-0.4,0.08,2.051,1.007,-0.069
AMZN,-0.071,-0.239,0.383,-0.002,-0.122,0.106,-0.585,1.0,-0.003,0.159,3.71,0.997,-0.048
DIS,0.132,0.579,0.365,0.521,0.223,0.14,-0.591,1.101,0.769,0.274,7.046,1.025,-0.045
GOOGL,-0.086,-0.281,0.34,-0.093,-0.126,0.055,-0.681,0.984,-0.133,0.145,3.004,1.019,-0.043
HD,-0.02,-0.072,0.318,0.093,-0.031,0.24,-0.634,1.018,0.146,1.5,20.524,1.147,-0.04
JNJ,0.065,0.263,0.211,0.405,0.204,0.035,-0.32,1.08,0.609,0.398,7.691,1.228,-0.026
JPM,0.014,0.053,0.354,0.216,0.025,0.002,-0.57,1.042,0.31,0.225,10.869,0.98,-0.044
MA,0.057,0.226,0.345,0.331,0.108,0.01,-0.523,1.063,0.506,0.756,7.479,1.138,-0.043
META,-0.064,-0.216,0.488,0.102,-0.082,0.133,-0.779,1.02,0.158,1.714,21.483,1.023,-0.061
MSFT,0.079,0.322,0.335,0.391,0.129,0.056,-0.611,1.073,0.608,0.878,6.506,1.217,-0.042
NFLX,-0.086,-0.283,0.511,0.067,-0.125,0.004,-0.689,1.013,0.107,2.899,39.055,0.961,-0.064
NVDA,-0.373,-0.822,0.553,-0.565,-0.414,0.521,-0.9,0.908,-0.783,-0.033,3.583,1.068,-0.071
PG,-0.094,-0.306,0.227,-0.322,-0.2,0.828,-0.471,0.94,-0.474,0.632,11.109,1.009,-0.029
PYPL,0.314,1.744,0.487,0.8,0.433,0.448,-0.725,1.154,1.282,1.178,10.028,1.071,-0.06
TSLA,-0.563,-0.953,0.692,-0.849,-0.581,0.636,-0.969,0.861,-1.187,0.358,3.14,0.923,-0.09
UNH,-0.014,-0.051,0.314,0.109,-0.023,0.548,-0.622,1.022,0.169,1.397,15.413,1.02,-0.039
V,0.138,0.615,0.308,0.574,0.34,0.0,-0.407,1.113,0.906,0.899,8.603,1.215,-0.038
VZ,0.245,1.245,0.215,1.124,1.29,0.694,-0.19,1.234,1.723,0.113,5.428,1.313,-0.026
average,-0.023,0.083,0.387,0.163,0.047,0.283,-0.617,1.035,0.268,0.779,9.923,1.089,-0.049
