,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.22,2.097,0.323,0.777,0.582,0.874,-0.379,1.148,1.16,0.185,4.734,1.094,-0.04
ADBE,-0.064,-0.312,0.372,0.009,-0.13,0.065,-0.489,1.002,0.013,0.302,7.363,0.991,-0.047
AMD,-0.05,-0.255,0.557,0.183,-0.06,0.418,-0.847,1.032,0.274,0.422,2.654,1.015,-0.07
AMZN,-0.007,-0.04,0.358,0.159,-0.011,0.124,-0.622,1.028,0.229,0.136,3.847,0.992,-0.045
DIS,-0.009,-0.049,0.321,0.133,-0.018,0.115,-0.5,1.025,0.195,0.302,8.881,1.087,-0.04
GOOGL,-0.091,-0.419,0.315,-0.146,-0.16,0.115,-0.571,0.974,-0.206,0.096,3.459,0.97,-0.04
HD,-0.016,-0.086,0.284,0.084,-0.039,0.001,-0.403,1.016,0.125,1.289,21.774,0.934,-0.036
JNJ,-0.103,-0.461,0.205,-0.428,-0.172,0.878,-0.6,0.922,-0.574,-0.583,9.372,0.91,-0.026
JPM,-0.152,-0.607,0.311,-0.373,-0.22,0.846,-0.689,0.932,-0.536,0.455,12.522,0.974,-0.04
MA,-0.253,-0.809,0.316,-0.764,-0.286,0.868,-0.885,0.869,-1.016,-0.31,7.394,0.865,-0.041
META,0.127,0.976,0.442,0.487,0.235,0.069,-0.542,1.1,0.764,1.643,23.261,1.077,-0.055
MSFT,-0.22,-0.756,0.307,-0.655,-0.291,0.886,-0.756,0.889,-0.874,-0.158,6.603,0.946,-0.039
NFLX,-0.183,-0.684,0.476,-0.196,-0.219,0.529,-0.837,0.964,-0.298,2.348,34.204,0.925,-0.06
NVDA,0.098,0.698,0.522,0.437,0.148,0.254,-0.662,1.079,0.661,0.558,4.488,1.088,-0.065
PG,0.005,0.029,0.212,0.13,0.011,0.477,-0.471,1.025,0.182,-0.313,10.963,1.018,-0.027
PYPL,-0.052,-0.263,0.431,0.089,-0.082,0.261,-0.636,1.016,0.129,0.66,11.486,0.952,-0.054
TSLA,0.3,3.432,0.646,0.731,0.357,0.764,-0.839,1.139,1.063,-0.108,3.515,1.157,-0.08
UNH,-0.228,-0.769,0.291,-0.744,-0.288,0.933,-0.79,0.868,-1.025,0.478,14.272,0.934,-0.037
V,-0.195,-0.708,0.281,-0.629,-0.244,0.863,-0.797,0.89,-0.844,-0.24,8.698,0.917,-0.036
VZ,-0.113,-0.495,0.205,-0.485,-0.193,0.858,-0.589,0.915,-0.666,-0.074,4.858,0.95,-0.026
average,-0.049,0.026,0.359,-0.06,-0.054,0.51,-0.645,0.992,-0.062,0.354,10.218,0.99,-0.045
