,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.237,2.368,0.323,0.821,0.473,0.835,-0.502,1.157,1.211,0.11,4.757,1.01,-0.04
ADBE,0.132,1.024,0.372,0.518,0.253,0.752,-0.521,1.098,0.765,0.362,7.352,1.028,-0.046
AMD,-0.233,-0.779,0.556,-0.198,-0.243,0.756,-0.955,0.966,-0.285,0.243,2.679,1.012,-0.071
AMZN,0.022,0.133,0.357,0.24,0.038,0.014,-0.581,1.043,0.344,0.054,3.852,0.972,-0.045
DIS,-0.14,-0.577,0.32,-0.31,-0.238,0.469,-0.587,0.943,-0.444,0.254,8.948,0.994,-0.041
GOOGL,-0.107,-0.476,0.314,-0.203,-0.189,0.056,-0.567,0.965,-0.288,0.171,3.485,0.982,-0.04
HD,-0.051,-0.26,0.283,-0.047,-0.084,0.001,-0.609,0.991,-0.069,1.368,21.867,0.915,-0.036
JNJ,-0.056,-0.279,0.206,-0.176,-0.123,0.82,-0.454,0.967,-0.242,-0.46,9.298,1.01,-0.026
JPM,-0.056,-0.281,0.311,-0.031,-0.109,0.036,-0.516,0.994,-0.045,0.442,12.518,1.015,-0.039
MA,-0.167,-0.648,0.316,-0.422,-0.217,0.784,-0.773,0.925,-0.576,-0.111,7.447,0.875,-0.04
META,-0.034,-0.181,0.441,0.137,-0.049,0.103,-0.696,1.027,0.207,1.476,23.417,0.979,-0.055
MSFT,-0.211,-0.741,0.306,-0.62,-0.268,0.836,-0.786,0.895,-0.834,-0.071,6.637,0.902,-0.039
NFLX,-0.178,-0.672,0.478,-0.178,-0.234,0.665,-0.759,0.967,-0.27,2.247,33.625,0.93,-0.061
NVDA,0.007,0.038,0.521,0.273,0.01,0.315,-0.679,1.049,0.399,0.201,4.544,1.06,-0.065
PG,0.017,0.103,0.212,0.187,0.043,0.435,-0.406,1.036,0.261,-0.38,10.921,1.009,-0.027
PYPL,-0.011,-0.063,0.43,0.186,-0.017,0.276,-0.663,1.034,0.276,0.88,11.51,0.976,-0.054
TSLA,0.305,3.554,0.645,0.737,0.393,0.667,-0.776,1.14,1.073,-0.107,3.533,1.175,-0.079
UNH,-0.119,-0.514,0.291,-0.29,-0.207,0.554,-0.575,0.946,-0.409,0.425,14.099,1.033,-0.037
V,-0.205,-0.729,0.281,-0.675,-0.27,0.934,-0.758,0.882,-0.909,-0.166,8.743,0.87,-0.036
VZ,0.012,0.068,0.205,0.159,0.037,0.002,-0.314,1.029,0.227,0.014,4.857,1.04,-0.026
average,-0.042,0.054,0.358,0.005,-0.05,0.465,-0.624,1.003,0.02,0.348,10.205,0.989,-0.045
