,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
AAPL,0.279,3.04,0.323,0.922,0.734,0.916,-0.38,1.178,1.381,0.139,4.742,1.101,-0.04
ADBE,-0.115,-0.499,0.372,-0.141,-0.194,0.428,-0.59,0.975,-0.199,0.278,7.373,0.938,-0.047
AMD,0.003,0.018,0.556,0.281,0.004,0.154,-0.747,1.05,0.423,0.442,2.658,1.008,-0.069
AMZN,-0.041,-0.211,0.358,0.062,-0.061,0.398,-0.672,1.011,0.088,0.041,3.848,0.956,-0.045
DIS,0.006,0.032,0.321,0.177,0.011,0.238,-0.507,1.034,0.26,0.266,8.879,1.055,-0.04
GOOGL,-0.158,-0.624,0.315,-0.39,-0.239,0.323,-0.663,0.933,-0.539,0.038,3.459,0.946,-0.04
HD,0.029,0.176,0.284,0.241,0.088,0.185,-0.328,1.047,0.36,1.287,21.717,0.96,-0.035
JNJ,-0.083,-0.389,0.205,-0.321,-0.163,0.84,-0.51,0.941,-0.435,-0.524,9.453,0.976,-0.026
JPM,-0.127,-0.537,0.311,-0.28,-0.209,0.546,-0.607,0.948,-0.397,0.314,12.486,0.955,-0.04
MA,-0.192,-0.702,0.316,-0.515,-0.238,0.778,-0.806,0.91,-0.692,-0.301,7.393,0.865,-0.04
META,0.166,1.391,0.442,0.563,0.34,0.359,-0.488,1.116,0.887,1.635,23.227,1.073,-0.055
MSFT,-0.153,-0.611,0.307,-0.389,-0.241,0.794,-0.636,0.933,-0.527,-0.127,6.615,1.001,-0.039
NFLX,-0.162,-0.632,0.476,-0.14,-0.194,0.54,-0.831,0.974,-0.211,2.274,34.192,0.914,-0.06
NVDA,0.118,0.879,0.522,0.472,0.163,0.202,-0.723,1.085,0.706,0.492,4.489,1.049,-0.065
PG,-0.042,-0.214,0.212,-0.094,-0.073,0.751,-0.572,0.982,-0.131,-0.332,10.939,0.988,-0.027
PYPL,-0.086,-0.401,0.431,0.005,-0.143,0.009,-0.604,1.001,0.007,0.596,11.499,0.927,-0.054
TSLA,0.471,7.95,0.646,0.922,0.63,0.85,-0.748,1.179,1.362,-0.053,3.515,1.175,-0.079
UNH,-0.205,-0.728,0.291,-0.644,-0.276,0.926,-0.743,0.884,-0.889,0.451,14.229,0.948,-0.037
V,-0.202,-0.722,0.281,-0.66,-0.271,0.844,-0.745,0.885,-0.883,-0.237,8.693,0.876,-0.036
VZ,-0.166,-0.642,0.205,-0.782,-0.248,0.867,-0.669,0.867,-1.059,-0.033,4.87,0.914,-0.026
average,-0.033,0.329,0.359,-0.035,-0.029,0.547,-0.628,0.997,-0.024,0.332,10.214,0.981,-0.045
